"","longitude","latitude","price","room_type","minimum_nights","number_of_reviews","review_scores_value","calculated_host_listings_count","bedrooms","reviews_per_month","beds","accommodates","availability_30","availability_60","availability_90","instant_bookable","Distancia_Centro","Distancia_Norte","Distancia_Sur","logprice","tv_ports","phone_ports","Vecinos","Piso","ventanas"
"38",-3.68125,40.40612,736,"Entire home/apt",2,63,10,1,1,2.66,1,4,0,0,0,"t",2.2,7.3,4,6.60123011872888,4,3,2,4,4
"39",-3.67862,40.40363,50,"Entire home/apt",6,11,9,1,1,0.22,1,2,0,0,0,"f",2.6,7.6,4.1,3.91202300542815,4,4,1,6,1
"40",-3.67459,40.40984,96,"Entire home/apt",7,1,10,1,3,0.02,0,10,23,53,83,"f",2.6,6.9,4.7,4.56434819146784,2,4,2,2,5
"41",-3.67636,40.40844,70,"Entire home/apt",2,34,10,1,2,0.79,2,4,0,0,0,"f",2.5,7.1,4.5,4.24849524204936,2,4,1,1,3
"42",-3.68235,40.4039,36,"Entire home/apt",4,113,9,1,1,2.32,2,3,25,55,85,"t",2.3,7.6,3.8,3.58351893845611,3,3,1,1,3
"43",-3.6779,40.42128,55,"Entire home/apt",5,4,8,1,1,0.08,2,3,29,59,89,"f",2.2,5.6,5.2,4.00733318523247,4,3,2,3,2
"44",-3.66811,40.40161,81,"Entire home/apt",2,32,10,1,1,0.68,1,3,29,59,89,"f",3.4,7.9,4.9,4.39444915467244,4,4,1,5,4
"45",-3.68278,40.40262,75.86,"Entire home/apt",2,84,9,2,2,1.77,2,6,0,0,0,"t",2.3,7.7,3.7,4.32888953626075,1,3,3,2,5
"46",-3.67662,40.40594,65,"Entire home/apt",1,10,10,2,2,0.3,2,3,29,59,89,"f",2.6,7.4,4.4,4.17438726989564,1,2,1,4,3
"47",-3.68002,40.40683,50,"Entire home/apt",1,2,7,3,2,0.04,2,4,0,0,0,"f",2.3,7.2,4.1,3.91202300542815,2,1,1,3,2
"48",-3.67789,40.42096,156,"Entire home/apt",1,1,10,47,2,0.03,3,6,0,1,1,"t",2.2,5.7,5.2,5.04985600724954,1,2,1,2,3
"49",-3.67936,40.40837,175,"Entire home/apt",2,41,9,1,3,0.91,3,5,0,0,0,"f",2.2,7.1,4.3,5.16478597392351,2,4,1,2,5
"50",-3.67345,40.4162,79,"Entire home/apt",3,21,10,1,1,0.54,2,4,0,0,0,"t",2.5,6.2,5.1,4.36944785246702,1,3,3,6,4
"51",-3.67246,40.40562,75,"Entire home/apt",3,1,8,2,3,0.02,3,5,0,0,0,"f",2.9,7.4,4.7,4.31748811353631,4,1,2,2,6
"52",-3.66832,40.40101,50,"Entire home/apt",1,1,8,1,1,0.02,1,2,0,0,0,"t",3.4,8,4.9,3.91202300542815,2,1,1,3,2
"53",-3.68732,40.40823,104,"Entire home/apt",1,322,9,6,2,7.3,3,5,28,55,85,"t",1.7,7.1,3.7,4.64439089914137,4,3,2,6,3
"54",-3.68283,40.40455,122,"Entire home/apt",1,42,9,1,4,0.97,4,6,30,60,90,"t",2.2,7.5,3.8,4.80402104473326,1,2,3,5,6
"55",-3.67373,40.40643,77.86,"Entire home/apt",5,53,10,1,1,1.26,1,3,29,59,89,"t",2.8,7.3,4.6,4.35491234218231,3,1,2,3,3
"56",-3.68743,40.40835,110,"Entire home/apt",3,11,9,117,2,0.25,2,4,29,59,89,"t",1.6,7.1,3.7,4.70048036579242,4,4,1,4,5
"57",-3.66964,40.40841,200,"Entire home/apt",3,18,10,1,3,0.43,3,4,0,0,0,"f",3,7.1,5,5.29831736654804,4,1,1,3,6
"58",-3.67303,40.40632,100,"Entire home/apt",2,107,10,1,2,2.56,4,4,15,45,75,"t",2.8,7.3,4.7,4.60517018598809,2,2,1,1,4
"59",-3.67009,40.39822,55,"Entire home/apt",3,5,10,1,2,0.12,2,2,0,0,0,"f",3.5,8.3,4.7,4.00733318523247,1,1,2,1,2
"60",-3.67664,40.41699,164.29,"Entire home/apt",3,3,10,1,2,0.07,5,5,27,57,87,"f",2.3,6.1,5,5.10163315891825,4,1,2,5,3
"61",-3.67668,40.40234,62,"Entire home/apt",2,21,9,1,1,0.53,1,2,11,41,71,"f",2.8,7.8,4.2,4.12713438504509,4,1,1,5,3
"62",-3.67829,40.40311,53,"Entire home/apt",2,163,9,1,1,3.93,2,4,0,0,0,"t",2.6,7.7,4.1,3.97029191355212,3,3,1,5,4
"63",-3.67714,40.41955,99,"Entire home/apt",4,7,9,1,2,0.17,2,4,0,0,0,"f",2.2,5.8,5.1,4.59511985013459,1,3,3,1,4
"64",-3.67877,40.41895,61,"Entire home/apt",1,10,8,213,2,0.45,3,6,26,49,79,"t",2.1,5.9,5,4.11087386417331,3,2,1,3,2
"65",-3.68242,40.40484,80,"Entire home/apt",3,56,9,1,3,1.42,3,5,0,0,0,"t",2.2,7.5,3.9,4.38202663467388,1,1,2,1,5
"66",-3.6924,40.41271,82,"Entire home/apt",2,3,9,2,1,0.13,1,3,0,0,0,"t",1,6.6,3.6,4.40671924726425,3,2,3,4,3
"67",-3.67618,40.41966,200,"Entire home/apt",2,10,9,1,3,0.25,5,6,0,0,0,"t",2.3,5.8,5.2,5.29831736654804,2,3,2,4,3
"69",-3.68041,40.40526,99,"Entire home/apt",2,123,10,2,3,3.16,5,6,30,60,90,"t",2.3,7.4,4,4.59511985013459,4,1,2,1,4
"70",-3.67704,40.41799,180,"Entire home/apt",3,123,10,1,4,3.19,8,10,0,0,0,"f",2.2,6,5,5.19295685089021,3,4,2,5,6
"71",-3.67397,40.41067,60,"Entire home/apt",2,147,10,1,1,3.8,1,2,0,0,0,"f",2.6,6.8,4.8,4.0943445622221,3,2,3,2,4
"72",-3.69072,40.41397,72,"Entire home/apt",1,11,9,2,1,0.29,1,3,0,0,0,"t",1.1,6.5,3.8,4.27666611901606,4,2,1,5,2
"73",-3.67667,40.41973,104,"Entire home/apt",3,7,9,1,2,0.19,3,3,0,0,0,"t",2.3,5.8,5.1,4.64439089914137,3,2,1,1,5
"74",-3.67337,40.4207,87,"Entire home/apt",2,27,10,1,1,0.74,3,5,0,0,0,"t",2.6,5.7,5.4,4.46590811865458,4,1,3,4,1
"75",-3.68475,40.40754,114,"Entire home/apt",3,118,9,11,4,3.7,5,8,0,0,0,"t",1.9,7.2,3.8,4.7361984483945,2,3,2,1,7
"76",-3.6684,40.40243,55,"Entire home/apt",1,125,10,1,1,3.39,1,3,14,31,31,"f",3.4,7.8,4.9,4.00733318523247,1,2,1,1,1
"77",-3.66776,40.40137,42,"Entire home/apt",2,10,9,1,1,0.28,1,2,0,0,0,"f",3.5,7.9,4.9,3.73766961828337,2,3,3,3,1
"78",-3.676,40.40319,51,"Entire home/apt",4,92,9,1,1,2.83,1,4,0,0,0,"f",2.8,7.7,4.3,3.93182563272433,1,4,2,4,1
"79",-3.68824,40.40762,52,"Entire home/apt",1,251,10,3,1,7.19,3,3,25,36,50,"t",1.6,7.2,3.6,3.95124371858143,1,4,1,6,3
"80",-3.69016,40.41277,350,"Entire home/apt",5,8,9,1,3,0.24,5,6,0,0,0,"t",1.2,6.6,3.8,5.85793315448346,4,3,2,5,3
"81",-3.68561,40.40782,58,"Entire home/apt",2,82,9,5,2,2.43,3,4,30,60,90,"t",1.8,7.1,3.8,4.06044301054642,3,1,2,5,5
"82",-3.68691,40.40682,135,"Entire home/apt",3,98,10,2,2,2.86,3,6,6,30,60,"t",1.8,7.2,3.6,4.90527477843843,4,3,2,6,5
"83",-3.67459,40.41794,64,"Entire home/apt",2,1,10,1,1,0.03,2,4,0,0,0,"f",2.4,6,5.2,4.15888308335967,4,3,3,2,3
"84",-3.67073,40.41886,132,"Entire home/apt",2,74,9,1,3,2.29,3,6,0,0,0,"t",2.8,6,5.5,4.88280192258637,4,2,3,6,5
"85",-3.67381,40.40507,30,"Entire home/apt",3,1,10,2,1,0.03,3,3,0,0,0,"f",2.8,7.5,4.6,3.40119738166216,2,4,3,5,3
"86",-3.67616,40.40404,64,"Entire home/apt",1,90,9,19,3,2.73,4,5,28,58,88,"t",2.7,7.6,4.3,4.15888308335967,4,1,1,1,5
"87",-3.67611,40.40524,72,"Entire home/apt",2,63,9,1,2,1.91,3,4,17,47,77,"t",2.6,7.4,4.4,4.27666611901606,3,1,3,1,3
